,date,geography_name,market,population,submarket,cap_rate,price,equity,debt,mo_rent,occupancy,revenue,debt_service,pay_off,valuation,cashflow,irr
5,2029-12-31,Akron - OH USA - South Summit County,Akron - OH,698000.0,South Summit County,0.0663999989628792,215467.3997,0.0,0.0,1543.34375,0.871077299118042,8711.528650737406,6666.168744575998,94689.89693999999,215467.3997,122822.86266616143,0.160872430205258
0,2024-12-31,Albany - NY USA - City of Albany,Albany - NY,900119.0,City of Albany,0.0697711184620857,281206.958,112482.7832,168724.17479999998,1999.05102539063,0.963157534599304,0.0,0.0,0.0,0.0,-112482.7832,
1,2025-12-31,Albany - NY USA - City of Albany,Albany - NY,900119.0,City of Albany,0.0705711171030998,288680.8053,0.0,0.0,2070.3251953125,0.890510201454163,11946.824179761797,11878.181905919997,0.0,0.0,68.64227384180049,
2,2026-12-31,Albany - NY USA - City of Albany,Albany - NY,900119.0,City of Albany,0.0674711167812347,311300.6069,0.0,0.0,2128.97583007813,0.945605516433716,13045.349954508023,11878.181905919997,0.0,0.0,1167.168048588026,
3,2027-12-31,Albany - NY USA - City of Albany,Albany - NY,900119.0,City of Albany,0.0637711137533188,337043.17,0.0,0.0,2175.13110351563,0.938434541225433,13227.093671828934,11878.181905919997,0.0,0.0,1348.911765908937,
4,2028-12-31,Albany - NY USA - City of Albany,Albany - NY,900119.0,City of Albany,0.0599711164832115,364885.2663,0.0,0.0,2213.9052734375,0.935289680957794,13417.765064479609,11878.181905919997,0.0,0.0,1539.5831585596115,
5,2029-12-31,Albany - NY USA - City of Albany,Albany - NY,900119.0,City of Albany,0.057971116155386,384028.6822,0.0,0.0,2250.85205078125,0.936286807060242,13656.231157045513,11878.181905919997,168724.17479999998,384028.6822,217082.55665112552,0.14616430922554535
0,2024-12-31,Albany - NY USA - Downtown Albany,Albany - NY,900119.0,Downtown Albany,0.0671297535300255,227887.8455,91155.1382,136732.7073,1916.28527832031,0.704021871089935,0.0,0.0,0.0,0.0,-91155.1382,
1,2025-12-31,Albany - NY USA - Downtown Albany,Albany - NY,900119.0,Downtown Albany,0.0679297521710396,232915.6339,0.0,0.0,1973.78979492188,0.852771759033203,10907.085426045012,9625.98259392,0.0,0.0,1281.1028321250124,
2,2026-12-31,Albany - NY USA - Downtown Albany,Albany - NY,900119.0,Downtown Albany,0.0648297518491745,250788.6726,0.0,0.0,2018.50146484375,0.834363758563995,10913.385758303268,9625.98259392,0.0,0.0,1287.4031643832677,
3,2027-12-31,Albany - NY USA - Downtown Albany,Albany - NY,900119.0,Downtown Albany,0.0611297488212585,271404.7986,0.0,0.0,2050.85278320313,0.823180019855499,10939.672305490121,9625.98259392,0.0,0.0,1313.6897115701213,
4,2028-12-31,Albany - NY USA - Downtown Albany,Albany - NY,900119.0,Downtown Albany,0.0573297515511513,293889.6743,0.0,0.0,2075.78686523438,0.823382973670959,11075.405800488637,9625.98259392,0.0,0.0,1449.4232065686374,
5,2029-12-31,Albany - NY USA - Downtown Albany,Albany - NY,900119.0,Downtown Albany,0.0553297512233257,308908.6488,0.0,0.0,2098.46850585938,0.827353477478027,11250.415397741686,9625.98259392,136732.7073,308908.6488,173800.3743038217,0.14749814803786676
0,2024-12-31,Albany - NY USA - Outer Albany County,Albany - NY,900119.0,Outer Albany County,0.0715841799974442,246899.4883,98759.79532,148139.69298,2071.05297851563,0.968160569667816,0.0,0.0,0.0,0.0,-98759.79532,
1,2025-12-31,Albany - NY USA - Outer Albany County,Albany - NY,900119.0,Outer Albany County,0.0723841786384583,253534.8314,0.0,0.0,2145.48071289063,0.967837393283844,13455.567464071302,10429.034385791998,0.0,0.0,3026.5330782793044,
2,2026-12-31,Albany - NY USA - Outer Albany County,Albany - NY,900119.0,Outer Albany County,0.0692841783165932,273406.3286,0.0,0.0,2207.12670898438,0.965235590934753,13804.974200829405,10429.034385791998,0.0,0.0,3375.9398150374072,
3,2027-12-31,Albany - NY USA - Outer Albany County,Albany - NY,900119.0,Outer Albany County,0.0655841752886772,295954.5905,0.0,0.0,2256.15356445313,0.963469266891479,14085.800342383889,10429.034385791998,0.0,0.0,3656.765956591891,
4,2028-12-31,Albany - NY USA - Outer Albany County,Albany - NY,900119.0,Outer Albany County,0.0617841780185699,320270.8749,0.0,0.0,2297.478515625,0.962616205215454,14331.103525781817,10429.034385791998,0.0,0.0,3902.0691399898187,
